window_seconds,modality,fold,class,precision,recall,f1-score,support
2.0,gyro,5,eat_drink,0.5752143413873734,0.7319613191172825,0.644189852700491,8066.0
2.0,gyro,5,sports,0.5790200138026225,0.7509509957484896,0.6538723818801754,4469.0
2.0,gyro,5,upper_body,0.5528559249786871,0.5591320592039086,0.5559762806315639,6959.0
2.0,gyro,5,accuracy,0.5621041842076363,0.5621041842076363,0.5621041842076363,0.5621041842076363
2.0,gyro,5,macro avg,0.5679215049452871,0.5117448467536382,0.49013915667964847,27317.0
2.0,gyro,5,weighted avg,0.5779683647575963,0.5621041842076363,0.5353057235931524,27317.0
2.0,accel_gyro,1,locomotion,0.8946938775510204,0.8212813787935557,0.8564172689978511,2669.0
2.0,accel_gyro,1,stairs,0.6743215031315241,0.7193763919821826,0.6961206896551724,1347.0
2.0,accel_gyro,1,static,0.3012288276320159,0.28097893432465926,0.29075172303253727,3228.0
2.0,accel_gyro,1,eat_drink,0.5165146660093666,0.5374454988458579,0.5267722473604827,7798.0
2.0,accel_gyro,1,sports,0.7896129672510751,0.5795095897062393,0.6684402128255391,4119.0
2.0,accel_gyro,1,upper_body,0.38932220147204216,0.4442772972295349,0.41498829039812646,7977.0
2.0,accel_gyro,1,accuracy,0.5228830422286094,0.5228830422286094,0.5228830422286094,0.5228830422286094
2.0,accel_gyro,1,macro avg,0.5942823405078407,0.5638115151470049,0.5755817387116181,27138.0
2.0,accel_gyro,1,weighted avg,0.5399969068571259,0.5228830422286094,0.5281684588370957,27138.0
2.0,accel_gyro,2,locomotion,0.9494079655543596,0.653575398295665,0.7741935483870968,2699.0
2.0,accel_gyro,2,stairs,0.6115485564304461,0.6929368029739778,0.6497037295224817,1345.0
2.0,accel_gyro,2,static,0.31590106007067137,0.3880208333333333,0.34826645890144137,3456.0
2.0,accel_gyro,2,eat_drink,0.5937295885042456,0.46508058326937834,0.5215894419738918,7818.0
2.0,accel_gyro,2,sports,0.6857738405419489,0.7088607594936709,0.697126208449212,3713.0
